"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2387","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-17","passed","2026-09-17","Home","features/home/home.feature.spec.js","",""
"","8327","Add to cart from Recommended items","chromium","2026-09-17","passed","2026-09-17","Home","features/home/home.feature.spec.js","",""
"","8137","Verify Product quantity in Cart","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","5512","Login User with correct email and password","chromium","2026-09-17","passed","2026-09-17","Login","features/login/login.feature.spec.js","",""
"","3352","Add review on product","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","15712","Download Invoice after purchase order","chromium","2026-09-17","passed","2026-09-17","Checkout","features/checkout/checkout.feature.spec.js","",""
"","10153","Search Products and Verify Cart After Login","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","2005","Verify Subscription in Cart page","chromium","2026-09-17","passed","2026-09-17","Home","features/home/home.feature.spec.js","",""
"","8037","Register user with existing email","chromium","2026-09-17","passed","2026-09-17","Register","features/register/register.feature.spec.js","",""
"","5792","Logout User","chromium","2026-09-17","passed","2026-09-17","Login","features/login/login.feature.spec.js","",""
"","10052","View Category Products","chromium","2026-09-17","passed","2026-09-17","Category","features/category/category.feature.spec.js","",""
"","2536","Navigate to test cases page successfully","chromium","2026-09-17","passed","2026-09-17","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","4635","Submit contact us form successfully","chromium","2026-09-17","passed","2026-09-17","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","14615","Verify address details in checkout page","chromium","2026-09-17","passed","2026-09-17","Checkout","features/checkout/checkout.feature.spec.js","",""
"","21646","Place Order: Login before Checkout","chromium","2026-09-17","passed","2026-09-17","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2347","Login User with incorrect email and password","chromium","2026-09-17","passed","2026-09-17","Login","features/login/login.feature.spec.js","",""
"","4526","Register user","chromium","2026-09-17","passed","2026-09-17","Register","features/register/register.feature.spec.js","",""
"","5763","View & Cart Brand Products","chromium","2026-09-17","passed","2026-09-17","Brand Products","features/brand/brand.feature.spec.js","",""
"","2861","Verify all products and product detail page","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","4518","Remove Products From Cart","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","1893","Verify Subscription in home page","chromium","2026-09-17","passed","2026-09-17","Home","features/home/home.feature.spec.js","",""
"","19332","Place Order: Register before Checkout","chromium","2026-09-17","passed","2026-09-17","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3750","Search Product","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","7268","Add Products in Cart","chromium","2026-09-17","passed","2026-09-17","Products","features/products/products.feature.spec.js","",""
"","17266","Place Order: Register while Checkout","chromium","2026-09-17","passed","2026-09-17","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2903","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-17","passed","2026-09-17","Home","features/home/home.feature.spec.js","",""
